"COUNTRY","INDICATOR","PRICE_TYPE","S_ADJUSTMENT","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","122659000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","127827000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","323313000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","316932000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","350452000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","350418000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","368745000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","373338000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","383242000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","389156000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","381461000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","390969000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","389287000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","394912000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","402108000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","432397000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","413293000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","398265000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","390292000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","359628000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","393547000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","398024000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","414208000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","454012000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","447907000000",""
"Ukraine","Imports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","444311000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","290720000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","290886000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","292357000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","301990000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","306159000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","302667000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","308009000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","305265000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","297113000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","303028000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","296485000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","308925000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","320728000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","325895000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","327715000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","319216000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","320755000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","300869000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","301750000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","295024000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","280770000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","284460000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","272699000000",""
"Ukraine","Exports of goods and services","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","276104000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","110210000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","107223000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","110578000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","115716000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","114239000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","109963000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","122440000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","119982000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","121917000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","117708000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","113309000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","113328000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","103859000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","100362000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","101951000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","96629000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","95900000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","99451000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","100684000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","103840000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","101838000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","99886000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","99597000000",""
"Ukraine","Final consumption expenditure, General government","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","101816000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","589562000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","593357000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","597910000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","604538000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","603557000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","607868000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","613768000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","616468000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","624264000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","627852000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","632823000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","641896000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","648411000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","655846000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","655404000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","648020000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","647239000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","591842000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","635372000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","635367000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","641106000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","649922000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","657434000000",""
"Ukraine","Gross domestic product (GDP)","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","647837000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","116560000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","125326000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","135937000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","140378000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","135027000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","135319000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","129276000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","131035000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","130106000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","126346000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","131008000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","128730000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","129813000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","123850000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","106685000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","106926000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","16405000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","59913000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","97286000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","118323000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","126879000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","134818000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","134693000000",""
"Ukraine","Gross capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","137007000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","394489000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","383992000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","395387000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","395834000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","417143000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","431790000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","426568000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","443926000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","452054000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","464512000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","478906000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","483893000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","502026000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","526106000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","523844000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","532644000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","550196000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","480499000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","534978000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","553978000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","571704000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","564123000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","569508000000",""
"Ukraine","Final consumption expenditure, Households","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","560055000000",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q1","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q2","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q3","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q4","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2017-Q1","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2017-Q2","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2017-Q3","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2017-Q4","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2018-Q1","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2018-Q2","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2018-Q3","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2018-Q4","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2019-Q1","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2019-Q2","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2019-Q3","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2019-Q4","0",""
"Ukraine","Statistical discrepancy (expenditure approach)","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2020-Q1","0",""
"Ukraine","Acquisitions less disposals of fixed assets: residential structures","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q1","11382000000",""
"Ukraine","Acquisitions less disposals of fixed assets: residential structures","Current prices","Not seasonally adjusted (NSA)","Domestic currency","Quarterly","2016-Q2","12399000000",""
